,_id,lat,lng,name,oficina_principal,totalOffices
357,5d231e0ae0aeedf6e06cb571,40.757929,-73.985506,Camlink,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
358,5d231e0ae0aeedf6e06cb45c,40.757929,-73.985506,Gawker Media,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
359,5d231e0ae0aeedf6e06cb5a5,40.757929,-73.985506,Outbrain,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",2.0
360,5d231e0ae0aeedf6e06cb7d9,40.757929,-73.985506,Wiredset,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
361,5d231e0ae0aeedf6e06cb37e,40.757929,-73.985506,Chictini,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
362,5d231e0ae0aeedf6e06cb163,40.757929,-73.985506,iVillage,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
363,5d231e0ae0aeedf6e06cb455,40.757929,-73.985506,Massify,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
364,5d231e0ae0aeedf6e06cba75,40.757929,-73.985506,HyperCalc,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
365,5d231e0ae0aeedf6e06cb294,40.757929,-73.985506,Jango,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
366,5d231e0ae0aeedf6e06cba32,40.757929,-73.985506,Grey Global Group,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
367,5d231e0ae0aeedf6e06cafa4,40.757929,-73.985506,MeetMoi,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
368,5d231e0ae0aeedf6e06cb39f,40.757929,-73.985506,SnapVillage,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
369,5d231e0ae0aeedf6e06ce4ff,40.72616,-74.006023,ALOT,"{'type': 'Point', 'coordinates': [-74.006023, 40.72616]}",1.0
370,5d231e0ae0aeedf6e06ce4fd,40.72616,-74.006023,Vertro,"{'type': 'Point', 'coordinates': [-74.006023, 40.72616]}",2.0
371,5d231e0ae0aeedf6e06cc000,40.72616,-74.006023,Spill,"{'type': 'Point', 'coordinates': [-74.006023, 40.72616]}",1.0
372,5d231e0ae0aeedf6e06cd3b0,40.725107,-74.00492,Symagio,"{'type': 'Point', 'coordinates': [-74.00492, 40.725107]}",1.0
373,5d231e0ae0aeedf6e06ce16f,40.7523796,-74.005568,Exent,"{'type': 'Point', 'coordinates': [-74.005568, 40.7523796]}",3.0
374,5d231e0ae0aeedf6e06cb4da,40.725883,-74.006196,TheLadders,"{'type': 'Point', 'coordinates': [-74.006196, 40.725883]}",1.0
375,5d231e0ae0aeedf6e06cd259,40.727107,-74.007655,Echospin,"{'type': 'Point', 'coordinates': [-74.007655, 40.727107]}",1.0
376,5d231e0ae0aeedf6e06cd894,40.758343,-73.990152,Magnetic,"{'type': 'Point', 'coordinates': [-73.990152, 40.758343]}",3.0
